CVE_ESTADO,NOM_ESTADO,CLAVE_MUN,NOM_MUN,AMBITO,POB_TOTAL,PCT_POBREZA,PCT_Carencia_Servicios_Basicos_Vivienda,PCT_Carencia_Calidad_Espacio_Vivienda,PCT_Carencia_Servicios_Salud
7,Chiapas,7043,Ixtacomitán,Ámbito de residencia: rural,8035,66.605473,73.115002,15.216029,
7,Chiapas,7044,Ixtapa,Ámbito de residencia: rural,23636,88.939026,75.487791,22.244858,
7,Chiapas,7045,Ixtapangajoya,Ámbito de residencia: rural,6346,71.906619,76.998689,27.899738,34.518349
7,Chiapas,7046,Jiquipilas,Ámbito de residencia: rural,32321,65.923789,68.761515,,39.618123
7,Chiapas,7047,Jitotol,Ámbito de residencia: rural,12247,98.062539,85.623481,18.795615,46.536847
7,Chiapas,7048,Juárez,Ámbito de residencia: rural,20780,52.131604,81.575951,9.435525,33.343508
7,Chiapas,7049,Larráinzar,Ámbito de residencia: rural,27660,95.911054,58.257391,43.157739,16.033193
7,Chiapas,7050,La Libertad,Ámbito de residencia: rural,5283,42.770375,70.374662,12.746234,29.606025
7,Chiapas,7051,Mapastepec,Ámbito de residencia: rural,30095,75.943928,78.044001,12.884363,55.485427
7,Chiapas,7052,Las Margaritas,Ámbito de residencia: rural,101060,97.997468,87.534887,,
7,Chiapas,7053,Mazapa de Madero,Ámbito de residencia: rural,7979,82.572203,20.028391,23.164279,10.220674
7,Chiapas,7054,Mazatán,Ámbito de residencia: rural,20696,,88.708435,28.170575,40.737711
7,Chiapas,7055,Metapa,Ámbito de residencia: rural,3718,56.779424,75.665295,29.876543,52.345679
7,Chiapas,7056,Mitontic,Ámbito de residencia: rural,13890,98.391121,96.872221,42.95879,
7,Chiapas,7057,Motozintla,Ámbito de residencia: rural,23079,81.098796,,22.915108,13.743454
7,Chiapas,7059,Ocosingo,Ámbito de residencia: rural,172758,96.490254,99.514113,,
7,Chiapas,7060,Ocotepec,Ámbito de residencia: rural,8855,91.34484,90.625722,55.783884,20.157008
7,Chiapas,7061,Ocozocoautla de Espinosa,Ámbito de residencia: rural,48117,84.001644,84.617891,23.689732,31.488904
7,Chiapas,7062,Ostuacán,Ámbito de residencia: rural,19454,56.229747,79.418863,13.344556,35.614721
7,Chiapas,7063,Osumacinta,Ámbito de residencia: rural,4022,69.243573,48.663782,,
7,Chiapas,7064,Oxchuc,Ámbito de residencia: rural,41405,98.833659,99.633437,64.829721,5.119505
7,Chiapas,7065,Palenque,Ámbito de residencia: rural,90846,76.308065,91.193053,23.199599,27.513697
7,Chiapas,7066,Pantelhó,Ámbito de residencia: rural,17769,98.416311,92.586318,50.855874,33.720862
7,Chiapas,7067,Pantepec,Ámbito de residencia: rural,12071,88.764388,85.029316,24.958028,21.206712
7,Chiapas,7068,Pichucalco,Ámbito de residencia: rural,22634,62.823986,83.741213,14.244388,
7,Chiapas,7069,Pijijiapan,Ámbito de residencia: rural,34727,70.159559,72.688027,16.829088,64.34111
7,Chiapas,7070,El Porvenir,Ámbito de residencia: rural,9590,94.632576,,15.012578,
7,Chiapas,7071,Villa Comaltitlán,Ámbito de residencia: rural,29713,,81.557769,17.604355,54.964007
7,Chiapas,7072,Pueblo Nuevo Solistahuacán,Ámbito de residencia: rural,14505,96.032937,78.357062,32.697198,29.833304
7,Chiapas,7073,Rayón,Ámbito de residencia: rural,3181,93.175154,82.396968,27.8014,
7,Chiapas,7074,Reforma,Ámbito de residencia: rural,29025,56.730335,63.902738,17.003304,
7,Chiapas,7075,Las Rosas,Ámbito de residencia: rural,10258,91.957872,98.151016,19.043035,
7,Chiapas,7076,Sabanilla,Ámbito de residencia: rural,23553,92.261955,97.346617,19.244393,
7,Chiapas,7077,Salto de Agua,Ámbito de residencia: rural,62321,87.848946,97.344538,25.99246,
7,Chiapas,7078,San Cristóbal de las Casas,Ámbito de residencia: rural,29313,96.492839,69.424868,34.098421,54.367436
7,Chiapas,7079,San Fernando,Ámbito de residencia: rural,30710,63.390839,49.450827,14.868481,41.768987
7,Chiapas,7080,Siltepec,Ámbito de residencia: rural,15700,92.51744,,21.77382,5.737781
7,Chiapas,7081,Simojovel,Ámbito de residencia: rural,33467,98.145022,96.020357,28.317936,48.421272
7,Chiapas,7082,Sitalá,Ámbito de residencia: rural,15671,97.173,93.537838,53.083917,26.470011
7,Chiapas,7083,Socoltenango,Ámbito de residencia: rural,13697,80.795246,86.276068,13.914008,17.546134
7,Chiapas,7084,Solosuchiapa,Ámbito de residencia: rural,8645,75.53613,63.299263,27.501783,15.33159
7,Chiapas,7085,Soyaló,Ámbito de residencia: rural,2073,91.862885,72.167536,25.820566,15.181046
